industry_id,industry_name,file_name,main_paragraph
120,Specialty Chemicals,specialty-chemicals,This is super cool that the text is replaced withSpecialty Chemicalsand this can continue with specialty-chemicals
121,Specialty Industrial Machinery,specialty-industrial-machinery,This is super cool that the text is replaced withSpecialty Industrial Machineryand this can continue with specialty-industrial-machinery
122,Specialty Retail,specialty-retail,This is super cool that the text is replaced withSpecialty Retailand this can continue with specialty-retail
123,Staffing & Employment Services,staffing-and-employment-services,This is super cool that the text is replaced withStaffing & Employment Servicesand this can continue with staffing-and-employment-services
124,Steel,steel,This is super cool that the text is replaced withSteeland this can continue with steel
125,Telecom Services,telecom-services,This is super cool that the text is replaced withTelecom Servicesand this can continue with telecom-services
126,Textile Manufacturing,textile-manufacturing,This is super cool that the text is replaced withTextile Manufacturingand this can continue with textile-manufacturing
127,Thermal Coal,thermal-coal,This is super cool that the text is replaced withThermal Coaland this can continue with thermal-coal
128,Tools & Accessories,tools-and-accessories,This is super cool that the text is replaced withTools & Accessoriesand this can continue with tools-and-accessories
129,Travel Services,travel-services,This is super cool that the text is replaced withTravel Servicesand this can continue with travel-services
130,Trucking,trucking,This is super cool that the text is replaced withTruckingand this can continue with trucking
131,Utilities - Diversified,utilities-diversified,This is super cool that the text is replaced withUtilities - Diversifiedand this can continue with utilities-diversified
132,Utilities - Regulated Electric,utilities-regulated-electric,This is super cool that the text is replaced withUtilities - Regulated Electricand this can continue with utilities-regulated-electric
133,Utilities - Regulated Gas,utilities-regulated-gas,This is super cool that the text is replaced withUtilities - Regulated Gasand this can continue with utilities-regulated-gas
134,Utilities - Regulated Water,utilities-regulated-water,This is super cool that the text is replaced withUtilities - Regulated Waterand this can continue with utilities-regulated-water
135,Utilities - Renewable,utilities-renewable,This is super cool that the text is replaced withUtilities - Renewableand this can continue with utilities-renewable
136,Waste Management,waste-management,This is super cool that the text is replaced withWaste Managementand this can continue with waste-management
